# configId | bot | latency(ms) | timewarp | speed | weaponIndex

1  | Seeker | 0   | None | 8 | 0
2  | Seeker | 50  | None | 8 | 0
3  | Seeker | 100  | None | 8 | 0
4  | Seeker | 200 | None | 8 | 0

5  | Hider  | 0   | None | 8 | 0
6  | Hider  | 50  | None | 8 | 0
7  | Hider  | 100  | None | 8 | 0
8  | Hider  | 200 | None | 8 | 0

9  | Seeker | 50  | Normal | 8 | 0
10 | Seeker | 100  | Normal | 8 | 0
11 | Seeker | 200 | Normal | 8 | 0

12 | Hider  | 50  | Normal | 8 | 0
13 | Hider  | 100  | Normal | 8 | 0
14 | Hider  | 200 | Normal | 8 | 0

15 | Seeker | 50  | Conditional | 8 | 0
16 | Seeker | 100  | Conditional | 8 | 0
17 | Seeker | 200 | Conditional | 8 | 0

18 | Hider  | 50  | Conditional | 8 | 0
19 | Hider  | 100  | Conditional | 8 | 0
20 | Hider  | 200 | Conditional | 8 | 0

# Speed
21 | Seeker | 200 | Normal | 4 | 0
22 | Hider  | 200 | Normal | 4 | 0

23 | Seeker | 200 | Normal | 16 | 0
24 | Hider  | 200 | Normal | 16 | 0

# Weapon
25 | Hider | 200 | Normal | 8 | 1
26 | Hider | 200 | None   | 8 | 1 

27 | Seeker | 200 | Normal | 8 | 1
28 | Seeker | 200 | None | 8 | 1
